nome;CPF;tipo;tipoDependencia;grauDependencia;titularCPF;numeroMatricula;dataAdmissaoEmpresa;dataNascimento;sexo;raca;estadoCivil;nomeMae;nomePai;CNS;CBO;recemNato;numeroDeclaracaoNascidoVivo;tipoDocumento;documentoIdentificacao;orgaoExpedidor;orgaoExpedidorUF;dataExpedicao;naturalidadeCidade;naturalidadeEstado;cnhValidade;cnhCategoria;pisPasepNit;tituloEleitoral;certidaoCasamento;produtoAcessorio;produtoAssistencial;tipoEndereco;correspondencia;cartaoMagnetico;cep;endereco;numero;complemento;bairro;cidade;uf;pais;telefoneResidencial;telefoneComercial;telefoneCelular;dataBaseCarencia;dataVinculoComTitular;dataInicioVigencia;contratanteCNPJ;numeroContrato
JOAQUIM PORTO;402.396.875-74;titular;normal;0;;8075;25/01/2011;31/07/1999;F;2;casado;BODA REPO;LASABA REPO;042341586130008;;;;;;;;;;;;;;;;1060;5045;residencial;;;80887-162;RUA FOTURATO LOFO;723;AP 46;SAO MIGUEL;CURITIBA;PR;BRASIL;(49) 3947-6744;(49) 3438-1169;(42) 99620-8022;;;23/04/2021;;
DRA EMANUELLA MARTINS;208.163.479-13;dependente;normal;1;402.396.875-74;6816;24/02/2015;18/03/2007;M;5;casado;GOGA PIPE;DUFOJIMO MADIFA PIPE;034710991610006;;;;;;;;;;;;;;;;1060;5045;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;23/04/2021;23/04/2021;;
SRA ISABELLA PEIXOTO;682.730.159-12;titular;normal;0;;6816;24/02/2015;13/05/1965;F;5;casado;MANEMOPE PIPE;NEDISEMU FADOLEPO PIPE;848837986290003;;;;;;;;;;;;;;;;1060;5045;residencial;;;82243-784;RUA POFIRABI NIJABOGA NUTUFAJA;236;AP 45;CENTRO CIVICO;CURITIBA;PR;BRASIL;(49) 3361-2654;(47) 3692-1368;(43) 99104-3043;;;23/04/2021;;
VITOR FREITAS;169.458.207-85;dependente;normal;1;682.730.159-12;2301;07/12/2005;28/05/2006;F;3;casado;CUPAMO MORO;RERORU FOFU MORO;465396194200003;;;;;;;;;;;;;;;;1060;5045;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;23/04/2021;23/04/2021;;
DAVI LUIZ DAS NEVES;036.172.589-21;titular;normal;0;;2301;07/12/2005;11/02/1957;M;3;casado;BINI MORO;CUFU LIROGU MORO;864896641690008;;;;;;;;;;;;;;;;1060;5045;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;;23/04/2021;;
ANA VITORIA NOVAES;681.329.754-64;dependente;normal;10;036.172.589-21;2301;07/12/2005;01/05/2007;F;3;solteiro;PATACA MORO;BALANE MORO;381959040460008;;;;;;;;;;;;;;;;1060;5045;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;23/04/2021;23/04/2021;;
ANTONIO ARAUJO;842.197.036-40;titular;normal;0;;2301;07/12/2005;05/06/1959;F;3;solteiro;PATACA MORO;BALANE MORO;648530253610018;;;;;;;;;;;;;;;;1060;5045;residencial;;;82498-162;RUA SANO;247;AP 36;BATEL;CURITIBA;PR;BRASIL;(46) 3013-3836;(48) 3804-7858;(41) 98372-7035;;;23/04/2021;;
PEDRO HENRIQUE DA MATA;689.270.341-04;dependente;normal;10;842.197.036-40;1145;12/05/2001;03/07/2004;F;5;casado;NOFU CATOBI;TOBI SATEGI CATOBI;824404666430002;;;;;;;;;;;;;;;;1060;5045;residencial;;;80093-908;RUA DAMO DUCOJU;611;AP 38;CACHOEIRA;CURITIBA;PR;BRASIL;(44) 3517-8345;(45) 3411-6914;(42) 98336-5733;;23/04/2021;23/04/2021;;
ERICK CALDEIRA;608.271.549-76;titular;normal;0;;1145;12/05/2001;04/01/1991;M;5;casado;SALARA CATOBI;RAMISA CATOBI;540038744100001;;;;;;;;;;;;;;;;1060;5045;residencial;;;80093-908;RUA DAMO DUCOJU;611;AP 38;CACHOEIRA;CURITIBA;PR;BRASIL;(44) 3517-8345;(45) 3411-6914;(42) 98336-5733;;;23/04/2021;;
DR FRANCISCO CASTRO;871.402.639-22;dependente;normal;10;608.271.549-76;9426;25/04/2002;22/04/2007;M;5;casado;BEFABE SUPOGAGI;TOSOBA DADA SUPOGAGI;891402135390004;;;;;;;;;;;;;;;;1060;5045;residencial;;;81955-355;RUA BOTIBANA FOFUFABA JAGIFE;637;AP 59;SANTA QUITERIA;CURITIBA;PR;BRASIL;(46) 3836-9016;(44) 3776-8874;(49) 98303-9816;;23/04/2021;23/04/2021;;
